First Name,Middle Name,Last Name,Gender,Date of Birth,Phone,Alt Phone,Email,Marital Status,Nationality,Birth Country,Birth Province,Birth District,Birth Sector,Birth Cell,Birth Village,Residence Province,Residence District,Residence Sector,Residence Cell,Residence Village,Department,Position Code,Contract Type,Start Date,End Date,Basic Salary,National ID,RSSB Number,Medical Insurance,TIN Number,Payment Method,Bank Name,Bank Account Number,Bank Account Holder,Mobile Provider,Mobile Money Number,Next of Kin Name,Next of Kin Relationship,Next of Kin Phone,Next of Kin Email,Next of Kin Address,Qualification Level,Qualification Institution,Qualification Year,Qualification Grade
Bosco,,Nsengiyumva,Male,1993-06-14,+250781009503,+250791009347,bosco.nsengiyumva13@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-13,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-13,Human Resources,STORE_MANAGER,Temporary,2026-02-27,2027-02-27,364500,1199100000000013,RSSB-2013,MMI-3013,,Bank Transfer,Bank of Kigali,10100013,Bosco Nsengiyumva,,,Kin Bosco Nsengiyumva,Sibling,0787100013,,Kigali Block 13,Bachelor's Degree,University of Rwanda,2013,Upper Second
Sandrine,,Mugisha,Female,1994-07-15,+250781010234,+250791010066,sandrine.mugisha14@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-14,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-14,Academics,TEACHER,Probation,2026-03-01,2027-03-01,371000,1199100000000014,RSSB-2014,MMI-3014,,Mobile Money,,,,MTN MoMo,0788100014,Kin Sandrine Mugisha,Parent,0787100014,,Kigali Block 14,Bachelor's Degree,University of Rwanda,2014,Upper Second
Claude,Uwase,Niyonzima,Male,1995-08-16,+250781010965,,claude.niyonzima15@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-15,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-15,Administration,SECRETARY,Internship,2026-04-03,2027-04-03,,1199100000000015,RSSB-2015,MMI-3015,TIN-5015,Bank Transfer,Bank of Kigali,10100015,Claude Niyonzima,,,Kin Claude Niyonzima,Sibling,0787100015,kin.claude15@mail.com,Kigali Block 15,Bachelor's Degree,University of Rwanda,2015,Upper Second
Yvette,,Murekatete,Female,1996-01-17,+250781011696,+250791011504,yvette.murekatete16@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-16,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-16,Finance,ACCOUNTANT,Permanent,2026-05-05,,384000,1199100000000016,RSSB-2016,,,Mobile Money,,,,MTN MoMo,0788100016,Kin Yvette Murekatete,Parent,0787100016,,Kigali Block 16,Diploma,IPRC Kigali,2016,Merit
Theoneste,,Hakizimana,Male,1997-02-18,+250781012427,+250791012223,theoneste.hakizimana17@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-17,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-17,ICT,LIBRARIAN,Temporary,2026-06-07,2027-06-07,390500,1199100000000017,RSSB-2017,MMI-3017,,Bank Transfer,Bank of Kigali,10100017,Theoneste Hakizimana,,,Kin Theoneste Hakizimana,Sibling,0787100017,,Kigali Block 17,Bachelor's Degree,University of Rwanda,2017,Upper Second
Esperance,Uwase,Mukamana,Female,1998-03-10,+250781013158,+250791012942,esperance.mukamana18@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-18,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-18,Library,DISCIPLINE,Probation,2026-07-09,2027-07-09,397000,1199100000000018,RSSB-2018,MMI-3018,TIN-5018,Mobile Money,,,,MTN MoMo,0788100018,Kin Esperance Mukamana,Parent,0787100018,kin.esperance18@mail.com,Kigali Block 18,Bachelor's Degree,University of Rwanda,2018,Upper Second
Fabrice,,Rukundo,Male,1999-04-11,+250781013889,+250791013661,fabrice.rukundo19@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-19,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-19,Discipline,HR,Internship,2026-08-11,2027-08-11,,1199100000000019,RSSB-2019,MMI-3019,,Bank Transfer,Bank of Kigali,10100019,Fabrice Rukundo,,,Kin Fabrice Rukundo,Sibling,0787100019,,Kigali Block 19,Bachelor's Degree,University of Rwanda,2019,Upper Second
Josiane,,Uwimana,Female,1990-05-12,+250781014620,,josiane.uwimana20@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-20,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-20,Human Resources,STORE_MANAGER,Permanent,2026-09-13,,410000,1199100000000020,RSSB-2020,,,Mobile Money,,,,MTN MoMo,0788100020,Kin Josiane Uwimana,Parent,0787100020,,Kigali Block 20,Diploma,IPRC Kigali,2020,Merit
Jean,Uwase,Ndayisaba,Male,1991-06-13,+250781015351,+250791015099,jean.ndayisaba21@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-21,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-21,Academics,TEACHER,Temporary,2026-10-15,2027-10-15,416500,1199100000000021,RSSB-2021,MMI-3021,TIN-5021,Bank Transfer,Bank of Kigali,10100021,Jean Ndayisaba,,,Kin Jean Ndayisaba,Sibling,0787100021,kin.jean21@mail.com,Kigali Block 21,Bachelor's Degree,University of Rwanda,2021,Upper Second
Aline,,Umutoni,Female,1992-07-14,+250781016082,+250791015818,aline.umutoni22@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-22,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-22,Administration,SECRETARY,Probation,2026-11-17,2027-11-17,423000,1199100000000022,RSSB-2022,MMI-3022,,Mobile Money,,,,MTN MoMo,0788100022,Kin Aline Umutoni,Parent,0787100022,,Kigali Block 22,Bachelor's Degree,University of Rwanda,2022,Upper Second
Eric,,Nsengiyumva,Male,1993-08-15,+250781016813,+250791016537,eric.nsengiyumva23@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-23,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-23,Finance,ACCOUNTANT,Internship,2026-12-19,2027-12-19,,1199100000000023,RSSB-2023,MMI-3023,,Bank Transfer,Bank of Kigali,10100023,Eric Nsengiyumva,,,Kin Eric Nsengiyumva,Sibling,0787100023,,Kigali Block 23,Bachelor's Degree,University of Rwanda,2023,Upper Second
Diane,Uwase,Mugisha,Female,1994-01-16,+250781017544,+250791017256,diane.mugisha24@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-24,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-24,ICT,LIBRARIAN,Permanent,2026-01-21,,436000,1199100000000024,RSSB-2024,,TIN-5024,Mobile Money,,,,MTN MoMo,0788100024,Kin Diane Mugisha,Parent,0787100024,kin.diane24@mail.com,Kigali Block 24,Diploma,IPRC Kigali,2012,Merit
Patrick,,Niyonzima,Male,1995-02-17,+250781018275,,patrick.niyonzima25@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-25,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-25,Library,DISCIPLINE,Temporary,2026-02-23,2027-02-23,442500,1199100000000025,RSSB-2025,MMI-3025,,Bank Transfer,Bank of Kigali,10100025,Patrick Niyonzima,,,Kin Patrick Niyonzima,Sibling,0787100025,,Kigali Block 25,Bachelor's Degree,University of Rwanda,2013,Upper Second
Vestine,,Murekatete,Female,1996-03-18,+250781019006,+250791018694,vestine.murekatete26@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-26,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-26,Discipline,HR,Probation,2026-03-25,2027-03-25,449000,1199100000000026,RSSB-2026,MMI-3026,,Mobile Money,,,,MTN MoMo,0788100026,Kin Vestine Murekatete,Parent,0787100026,,Kigali Block 26,Bachelor's Degree,University of Rwanda,2014,Upper Second
Emmanuel,Uwase,Hakizimana,Male,1997-04-10,+250781019737,+250791019413,emmanuel.hakizimana27@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-27,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-27,Human Resources,STORE_MANAGER,Internship,2026-04-27,2027-04-27,,1199100000000027,RSSB-2027,MMI-3027,TIN-5027,Bank Transfer,Bank of Kigali,10100027,Emmanuel Hakizimana,,,Kin Emmanuel Hakizimana,Sibling,0787100027,kin.emmanuel27@mail.com,Kigali Block 27,Bachelor's Degree,University of Rwanda,2015,Upper Second
Claudine,,Mukamana,Female,1998-05-11,+250781020468,+250791020132,claudine.mukamana28@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-28,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-28,Academics,TEACHER,Permanent,2026-05-01,,462000,1199100000000028,RSSB-2028,,,Mobile Money,,,,MTN MoMo,0788100028,Kin Claudine Mukamana,Parent,0787100028,,Kigali Block 28,Diploma,IPRC Kigali,2016,Merit
Didier,,Rukundo,Male,1999-06-12,+250781021199,+250791020851,didier.rukundo29@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-29,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-29,Administration,SECRETARY,Temporary,2026-06-03,2027-06-03,468500,1199100000000029,RSSB-2029,MMI-3029,,Bank Transfer,Bank of Kigali,10100029,Didier Rukundo,,,Kin Didier Rukundo,Sibling,0787100029,,Kigali Block 29,Bachelor's Degree,University of Rwanda,2017,Upper Second
Gloria,Uwase,Uwimana,Female,1990-07-13,+250781021930,,gloria.uwimana30@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-30,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-30,Finance,ACCOUNTANT,Probation,2026-07-05,2027-07-05,475000,1199100000000030,RSSB-2030,MMI-3030,TIN-5030,Mobile Money,,,,MTN MoMo,0788100030,Kin Gloria Uwimana,Parent,0787100030,kin.gloria30@mail.com,Kigali Block 30,Bachelor's Degree,University of Rwanda,2018,Upper Second
Samuel,,Ndayisaba,Male,1991-08-14,+250781022661,+250791022289,samuel.ndayisaba31@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-31,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-31,ICT,LIBRARIAN,Internship,2026-08-07,2027-08-07,,1199100000000031,RSSB-2031,MMI-3031,,Bank Transfer,Bank of Kigali,10100031,Samuel Ndayisaba,,,Kin Samuel Ndayisaba,Sibling,0787100031,,Kigali Block 31,Bachelor's Degree,University of Rwanda,2019,Upper Second
Anitha,,Umutoni,Female,1992-01-15,+250781023392,+250791023008,anitha.umutoni32@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-32,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-32,Library,DISCIPLINE,Permanent,2026-09-09,,488000,1199100000000032,RSSB-2032,,,Mobile Money,,,,MTN MoMo,0788100032,Kin Anitha Umutoni,Parent,0787100032,,Kigali Block 32,Diploma,IPRC Kigali,2020,Merit
Bosco,Uwase,Nsengiyumva,Male,1993-02-16,+250781024123,+250791023727,bosco.nsengiyumva33@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-33,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-33,Discipline,HR,Temporary,2026-10-11,2027-10-11,494500,1199100000000033,RSSB-2033,MMI-3033,TIN-5033,Bank Transfer,Bank of Kigali,10100033,Bosco Nsengiyumva,,,Kin Bosco Nsengiyumva,Sibling,0787100033,kin.bosco33@mail.com,Kigali Block 33,Bachelor's Degree,University of Rwanda,2021,Upper Second
Sandrine,,Mugisha,Female,1994-03-17,+250781024854,+250791024446,sandrine.mugisha34@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-34,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-34,Human Resources,STORE_MANAGER,Probation,2026-11-13,2027-11-13,501000,1199100000000034,RSSB-2034,MMI-3034,,Mobile Money,,,,MTN MoMo,0788100034,Kin Sandrine Mugisha,Parent,0787100034,,Kigali Block 34,Bachelor's Degree,University of Rwanda,2022,Upper Second
Claude,,Niyonzima,Male,1995-04-18,+250781025585,,claude.niyonzima35@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-35,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-35,Academics,TEACHER,Internship,2026-12-15,2027-12-15,,1199100000000035,RSSB-2035,MMI-3035,,Bank Transfer,Bank of Kigali,10100035,Claude Niyonzima,,,Kin Claude Niyonzima,Sibling,0787100035,,Kigali Block 35,Bachelor's Degree,University of Rwanda,2023,Upper Second
Yvette,Uwase,Murekatete,Female,1996-05-10,+250781026316,+250791025884,yvette.murekatete36@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-36,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-36,Administration,SECRETARY,Permanent,2026-01-17,,514000,1199100000000036,RSSB-2036,,TIN-5036,Mobile Money,,,,MTN MoMo,0788100036,Kin Yvette Murekatete,Parent,0787100036,kin.yvette36@mail.com,Kigali Block 36,Diploma,IPRC Kigali,2012,Merit
Theoneste,,Hakizimana,Male,1997-06-11,+250781027047,+250791026603,theoneste.hakizimana37@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-37,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-37,Finance,ACCOUNTANT,Temporary,2026-02-19,2027-02-19,520500,1199100000000037,RSSB-2037,MMI-3037,,Bank Transfer,Bank of Kigali,10100037,Theoneste Hakizimana,,,Kin Theoneste Hakizimana,Sibling,0787100037,,Kigali Block 37,Bachelor's Degree,University of Rwanda,2013,Upper Second
Esperance,,Mukamana,Female,1998-07-12,+250781027778,+250791027322,esperance.mukamana38@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-38,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-38,ICT,LIBRARIAN,Probation,2026-03-21,2027-03-21,527000,1199100000000038,RSSB-2038,MMI-3038,,Mobile Money,,,,MTN MoMo,0788100038,Kin Esperance Mukamana,Parent,0787100038,,Kigali Block 38,Bachelor's Degree,University of Rwanda,2014,Upper Second
Fabrice,Uwase,Rukundo,Male,1999-08-13,+250781028509,+250791028041,fabrice.rukundo39@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-39,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-39,Library,DISCIPLINE,Internship,2026-04-23,2027-04-23,,1199100000000039,RSSB-2039,MMI-3039,TIN-5039,Bank Transfer,Bank of Kigali,10100039,Fabrice Rukundo,,,Kin Fabrice Rukundo,Sibling,0787100039,kin.fabrice39@mail.com,Kigali Block 39,Bachelor's Degree,University of Rwanda,2015,Upper Second
Josiane,,Uwimana,Female,1990-01-14,+250781029240,,josiane.uwimana40@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-40,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-40,Discipline,HR,Permanent,2026-05-25,,540000,1199100000000040,RSSB-2040,,,Mobile Money,,,,MTN MoMo,0788100040,Kin Josiane Uwimana,Parent,0787100040,,Kigali Block 40,Diploma,IPRC Kigali,2016,Merit
Jean,,Ndayisaba,Male,1991-02-15,+250781029971,+250791029479,jean.ndayisaba41@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-41,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-41,Human Resources,STORE_MANAGER,Temporary,2026-06-27,2027-06-27,546500,1199100000000041,RSSB-2041,MMI-3041,,Bank Transfer,Bank of Kigali,10100041,Jean Ndayisaba,,,Kin Jean Ndayisaba,Sibling,0787100041,,Kigali Block 41,Bachelor's Degree,University of Rwanda,2017,Upper Second
Aline,Uwase,Umutoni,Female,1992-03-16,+250781030702,+250791030198,aline.umutoni42@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-42,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-42,Academics,TEACHER,Probation,2026-07-01,2027-07-01,553000,1199100000000042,RSSB-2042,MMI-3042,TIN-5042,Mobile Money,,,,MTN MoMo,0788100042,Kin Aline Umutoni,Parent,0787100042,kin.aline42@mail.com,Kigali Block 42,Bachelor's Degree,University of Rwanda,2018,Upper Second
Eric,,Nsengiyumva,Male,1993-04-17,+250781031433,+250791030917,eric.nsengiyumva43@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-43,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-43,Administration,SECRETARY,Internship,2026-08-03,2027-08-03,,1199100000000043,RSSB-2043,MMI-3043,,Bank Transfer,Bank of Kigali,10100043,Eric Nsengiyumva,,,Kin Eric Nsengiyumva,Sibling,0787100043,,Kigali Block 43,Bachelor's Degree,University of Rwanda,2019,Upper Second
Diane,,Mugisha,Female,1994-05-18,+250781032164,+250791031636,diane.mugisha44@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-44,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-44,Finance,ACCOUNTANT,Permanent,2026-09-05,,566000,1199100000000044,RSSB-2044,,,Mobile Money,,,,MTN MoMo,0788100044,Kin Diane Mugisha,Parent,0787100044,,Kigali Block 44,Diploma,IPRC Kigali,2020,Merit
Patrick,Uwase,Niyonzima,Male,1995-06-10,+250781032895,,patrick.niyonzima45@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-45,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-45,ICT,LIBRARIAN,Temporary,2026-10-07,2027-10-07,572500,1199100000000045,RSSB-2045,MMI-3045,TIN-5045,Bank Transfer,Bank of Kigali,10100045,Patrick Niyonzima,,,Kin Patrick Niyonzima,Sibling,0787100045,kin.patrick45@mail.com,Kigali Block 45,Bachelor's Degree,University of Rwanda,2021,Upper Second
Vestine,,Murekatete,Female,1996-07-11,+250781033626,+250791033074,vestine.murekatete46@babyeyi.rw,Married,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-46,Kigali City,Gasabo,Nyarugunga,Rwimbogo,Home-46,Library,DISCIPLINE,Probation,2026-11-09,2027-11-09,579000,1199100000000046,RSSB-2046,MMI-3046,,Mobile Money,,,,MTN MoMo,0788100046,Kin Vestine Murekatete,Parent,0787100046,,Kigali Block 46,Bachelor's Degree,University of Rwanda,2022,Upper Second
Emmanuel,,Hakizimana,Male,1997-08-12,+250781034357,+250791033793,emmanuel.hakizimana47@babyeyi.rw,Single,Rwandan,Rwanda,Kigali City,Gasabo,Kimironko,Kibagabaga,Village-47,Kigali City,Kicukiro,Nyarugunga,Rwimbogo,Home-47,Discipline,HR,Internship,2026-12-11,2027-12-11,,1199100000000047,RSSB-2047,MMI-3047,,Bank Transfer,Bank of Kigali,10100047,Emmanuel Hakizimana,,,Kin Emmanuel Hakizimana,Sibling,0787100047,,Kigali Block 47,Bachelor's Degree,University of Rwanda,2023,Upper Second
